SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
21,2024-10-06,2653.58,2653.63,2583.25,(56.09),(2.15%),3000.81,1826.23,5810481910.05,11809268,68210
22,2024-10-02,2597.49,2643.76,2582.72,(-26.07),(-0.99%),3000.81,1826.23,6600889765.70,13673866,81716
23,2024-10-01,2623.56,2623.56,2510.11,(114.70),(4.57%),3000.81,1826.23,7484145168.00,15791482,95403
24,2024-09-30,2508.86,2508.86,2462.79,(44.45),(1.80%),3000.81,1826.23,3650798984.50,7349681,49773
25,2024-09-29,2464.40,2494.57,2442.63,(-22.36),(-0.89%),3000.81,1826.23,3954839230.10,8602345,57375
26,2024-09-26,2486.76,2541.69,2479.65,(-32.81),(-1.30%),3000.81,1826.23,4741275654.30,10214107,64135
27,2024-09-25,2519.57,2519.97,2443.28,(49.18),(1.99%),3000.81,1826.23,4691760071.40,10678382,67890
28,2024-09-24,2470.39,2547.47,2462.61,(-58.93),(-2.33%),3000.81,1826.23,5537548130.70,12070865,75739
29,2024-09-23,2529.33,2608.43,2517.79,(-59.02),(-2.28%),3000.81,1826.23,5502761276.70,11146168,75843
30,2024-09-22,2588.35,2643.51,2570.27,(11.58),(0.44%),3000.81,1826.23,4908751943.40,9793533,71379
31,2024-09-18,2576.76,2606.04,2551.40,(-4.00),(-0.15%),3000.81,1826.23,5544532336.10,11395642,78979
32,2024-09-16,2580.76,2637.52,2570.62,(-57.03),(-2.16%),3000.81,1826.23,7162529427.19,14157742,91349
33,2024-09-15,2637.79,2734.58,2630.11,(-50.73),(-1.88%),3000.81,1826.23,10109420934.10,19950599,117611
34,2024-09-12,2688.53,2688.55,2604.83,(78.31),(3.00%),3000.81,1826.23,7954163597.20,15693362,101192
35,2024-09-11,2610.21,2651.19,2601.91,(-22.73),(-0.86%),3000.81,1826.23,6658090113.50,13082168,85068
36,2024-09-10,2632.94,2688.26,2616.98,(-13.09),(-0.49%),3000.81,1826.23,6883773079.67,13929839,90164
37,2024-09-09,2646.03,2706.54,2637.71,(-55.86),(-2.06%),3000.81,1826.23,9046477886.20,17371153,109182
38,2024-09-08,2701.90,2760.45,2697.84,(-25.46),(-0.93%),3000.81,1826.23,9721374393.85,17551163,108792
39,2024-09-05,2727.36,2758.92,2686.62,(-12.10),(-0.44%),3000.81,1826.23,9541271756.00,17855966,110766
40,2024-09-04,2739.46,2860.39,2732.40,(-90.73),(-3.20%),3000.81,1826.23,12780851551.74,23578311,135155
41,2024-09-03,2830.20,2860.43,2802.92,(6.94),(0.24%),3000.81,1826.23,13409615288.40,25359635,141508
42,2024-09-02,2823.25,2823.70,2678.91,(127.32),(4.72%),3000.81,1826.23,12913779314.40,26455370,157638
43,2024-09-01,2695.93,2781.75,2686.61,(-53.63),(-1.95%),3000.81,1826.23,10336737227.20,20223360,127568
44,2024-08-29,2749.57,2800.28,2727.57,(-36.83),(-1.32%),3000.81,1826.23,12068957290.30,23728861,143780
45,2024-08-28,2786.40,2860.89,2761.02,(3.80),(0.13%),3000.81,1826.23,13494301948.10,27517279,164596
46,2024-08-27,2782.60,2902.75,2770.39,(-111.96),(-3.86%),3000.81,1826.23,18466679504.06,38172032,230945
47,2024-08-25,2894.57,2990.04,2885.39,(-79.88),(-2.68%),3000.81,1826.23,19460577266.80,36900652,215193
48,2024-08-22,2974.46,3018.93,2967.47,(6.01),(0.20%),3000.81,1826.23,18940348129.40,36217619,212709
49,2024-08-21,2968.44,3002.74,2943.61,(2.11),(0.07%),3000.81,1826.23,18549058412.40,35335936,209974
50,2024-08-18,2966.33,3048.15,2945.49,(-34.47),(-1.14%),3000.81,1826.23,28272972107.10,56851145,294089
51,2024-08-15,3000.81,3036.64,2975.11,(43.05),(1.45%),3000.81,1826.23,29305205410.88,59372595,305188
52,2024-08-14,2957.75,2959.19,2883.81,(34.29),(1.17%),2957.75,1826.23,23167217121.05,45141902,240214
53,2024-08-13,2923.46,2971.69,2891.43,(-8.18),(-0.27%),2931.65,1826.23,21037515436.94,41229536,236388
54,2024-08-12,2931.65,2937.40,2876.46,(70.81),(2.47%),2931.65,1826.23,26809031192.34,53050643,279086
55,2024-08-11,2860.84,2860.96,2779.24,(94.46),(3.41%),2860.84,1826.23,25339368663.35,52046311,271222
56,2024-08-08,2766.38,2811.15,2744.86,(6.70),(0.24%),2796.38,1826.23,19819695350.33,39919707,207207
57,2024-08-07,2759.67,2759.67,2630.86,(108.35),(4.08%),2796.38,1826.23,17692269452.40,33851146,209983
58,2024-08-06,2651.32,2815.94,2644.85,(-145.05),(-5.18%),2796.38,1826.23,23503207541.70,47162541,268413
59,2024-08-05,2796.38,2806.69,2744.10,(40.76),(1.47%),2796.38,1826.23,21697964239.90,44253223,235185
60,2024-08-01,2755.62,2805.57,2742.53,(-5.29),(-0.19%),2760.91,1826.23,21485233912.72,41947018,226593
61,2024-07-31,2760.91,2791.02,2707.57,(64.26),(2.38%),2760.91,1826.23,21718892835.93,45664392,235220
62,2024-07-30,2696.65,2709.89,2609.02,(35.55),(1.33%),2696.65,1826.23,17196064136.27,36574101,204754
63,2024-07-29,2661.09,2737.68,2655.15,(-20.46),(-0.76%),2681.56,1826.23,19440386171.90,43179452,220456
64,2024-07-28,2681.56,2708.58,2606.40,(113.42),(4.41%),2681.56,1826.23,15698008049.30,35161035,161627
65,2024-07-25,2568.13,2572.88,2518.47,(32.02),(1.26%),2568.13,1826.23,14007516720.66,29032151,157943
66,2024-07-24,2536.11,2600.41,2513.43,(-27.32),(-1.06%),2563.43,1826.23,16120016718.70,36611834,187199
67,2024-07-23,2563.43,2563.45,2469.56,(75.33),(3.02%),2563.43,1826.23,14000530537.40,33060092,169142
68,2024-07-22,2488.09,2504.53,2441.56,(2.15),(0.08%),2488.09,1826.23,13836805617.52,34014953,168996
69,2024-07-21,2485.94,2494.71,2408.25,(61.61),(2.54%),2485.94,1826.23,15100380593.80,35999650,175290
70,2024-07-18,2424.32,2459.94,2355.59,(59.68),(2.52%),2424.32,1826.23,15470486906.90,37318106,183016
71,2024-07-17,2364.63,2364.76,2311.93,(54.04),(2.33%),2364.63,1826.23,12004310706.60,29254788,148467
72,2024-07-16,2310.59,2310.84,2231.83,(70.18),(3.13%),2310.59,1826.23,9073603372.10,23896531,117756
73,2024-07-15,2240.41,2288.16,2231.69,(-17.18),(-0.76%),2257.59,1826.23,8637613243.80,22779918,101183
74,2024-07-14,2257.59,2290.95,2230.50,(52.97),(2.40%),2257.59,1826.23,7323864838.30,17657205,95188
75,2024-07-11,2204.61,2205.15,2185.02,(29.21),(1.34%),2227.16,1826.23,6800805436.20,14861514,86014
76,2024-07-10,2175.40,2176.60,2160.63,(23.25),(1.08%),2227.16,1826.23,5588103405.47,11420967,71670
77,2024-07-09,2152.14,2152.24,2129.71,(15.79),(0.73%),2227.16,1826.23,5321873725.10,10504987,65664
78,2024-07-08,2136.35,2149.19,2128.72,(-4.62),(-0.21%),2227.16,1826.23,4526195420.14,9241428,59202
79,2024-07-07,2140.97,2147.12,2121.26,(21.27),(1.00%),2227.16,1826.23,5919485426.16,12797916,79737
80,2024-07-04,2119.70,2129.37,2105.83,(15.47),(0.73%),2227.16,1826.23,6285674499.40,13887014,83001
81,2024-07-03,2104.22,2104.38,2076.95,(3.79),(0.18%),2227.16,1826.23,4965144038.50,10186923,60434
82,2024-07-02,2100.43,2162.49,2085.82,(47.04),(2.29%),2227.16,1826.23,4451442422.70,10461250,60049
83,2024-07-01,2053.38,2053.38,2030.38,(16.29),(0.80%),2227.16,1826.23,2917827435.40,6382990,43479
84,2024-06-30,2037.09,2059.79,2034.50,(-14.83),(-0.72%),2227.16,1826.23,3482250192.50,7440294,49793
85,2024-06-27,2051.92,2059.97,2046.95,(-8.24),(-0.40%),2227.16,1826.23,3614165566.62,7739243,49345
86,2024-06-26,2060.16,2077.26,2055.20,(-11.60),(-0.56%),2227.16,1826.23,3999031764.70,8108283,53999
87,2024-06-25,2071.77,2077.63,2067.03,(5.60),(0.27%),2227.16,1826.23,4154378883.30,8843843,60107
88,2024-06-24,2066.16,2079.36,2058.81,(3.21),(0.15%),2227.16,1826.23,4994493588.20,10053376,65693
89,2024-06-23,2062.94,2079.76,2057.34,(-5.37),(-0.25%),2227.16,1826.23,4292518064.20,8978835,60568
90,2024-06-20,2068.31,2095.38,2063.90,(-10.44),(-0.50%),2227.16,1826.23,3799226544.20,7964455,52087
91,2024-06-19,2078.76,2086.85,2073.34,(2.27),(0.10%),2227.16,1826.23,3328072652.04,6804642,47896
92,2024-06-18,2076.49,2099.02,2073.91,(-18.76),(-0.89%),2227.16,1826.23,4009480162.90,8888738,57299
93,2024-06-16,2095.25,2117.15,2090.13,(-17.04),(-0.80%),2227.16,1826.23,5315414464.90,12357226,70655
94,2024-06-13,2112.29,2127.09,2106.25,(-9.32),(-0.43%),2227.16,1826.23,6269278133.40,13042317,76090
95,2024-06-12,2121.62,2134.12,2116.33,(6.37),(0.30%),2227.16,1826.23,5834242651.10,12642565,73829
96,2024-06-11,2115.24,2115.27,2086.81,(33.15),(1.59%),2227.16,1826.23,5500937305.00,12273054,73870
97,2024-06-10,2082.09,2089.15,2072.23,(8.90),(0.42%),2227.16,1826.23,5450838818.39,11200465,71088
98,2024-06-09,2073.19,2093.71,2068.84,(-4.59),(-0.22%),2227.16,1826.23,5119964255.10,9604587,68178
99,2024-06-06,2077.78,2089.10,2073.47,(-1.93),(-0.09%),2227.16,1826.23,4303004113.50,8056188,58461
100,2024-06-05,2079.71,2091.88,2072.31,(-5.58),(-0.26%),2227.16,1826.23,3926445561.84,7598588,48765
101,2024-06-04,2085.30,2092.71,2077.56,(6.22),(0.29%),2227.16,1826.23,4001409015.80,7509617,53076
102,2024-06-03,2079.07,2096.57,2073.02,(-3.97),(-0.19%),2227.16,1826.23,3964520532.60,8262440,58403
103,2024-06-02,2083.04,2086.44,2068.08,(13.51),(0.65%),2227.16,1826.23,4259563645.20,9190029,64869
104,2024-05-30,2069.53,2100.11,2065.59,(-19.89),(-0.95%),2227.16,1826.23,4176180607.80,9089986,60392
105,2024-05-29,2089.42,2153.39,2086.44,(-23.81),(-1.12%),2227.16,1826.23,4501614623.10,9661271,62265
106,2024-05-27,2113.24,2124.57,2096.83,(3.89),(0.18%),2227.16,1826.23,3857311493.80,8333851,57603
107,2024-05-26,2109.34,2142.58,2106.36,(-22.14),(-1.03%),2227.16,1826.23,4406264153.70,10258464,69552
108,2024-05-22,2131.49,2140.24,2108.37,(15.54),(0.73%),2227.16,1826.23,5645774556.20,13400916,77167
109,2024-05-21,2115.94,2118.34,2081.07,(23.94),(1.14%),2227.16,1826.23,5139392549.70,11902412,72680
110,2024-05-20,2092.00,2121.01,2069.52,(27.54),(1.33%),2227.16,1826.23,5793961844.00,13164816,79684
111,2024-05-19,2064.45,2068.91,2028.07,(45.69),(2.26%),2227.16,1826.23,5157058548.80,10761855,73628
112,2024-05-16,2018.76,2029.10,2009.35,(0.79),(0.03%),2227.16,1826.23,4137902513.00,7632806,55910
113,2024-05-15,2017.97,2048.29,2012.56,(-9.54),(-0.47%),2227.16,1821.62,3661538323.70,7873247,54892
114,2024-05-14,2027.51,2027.59,1999.14,(28.62),(1.43%),2227.16,1818.31,3970607059.70,8645828,58609
115,2024-05-13,1998.89,2000.55,1970.54,(24.39),(1.23%),2227.16,1818.31,2950301766.76,7061548,45057
116,2024-05-12,1974.50,1981.79,1961.89,(8.26),(0.42%),2227.16,1818.31,3107601524.00,6806604,49016
117,2024-05-09,1966.23,1970.55,1955.15,(5.63),(0.28%),2227.16,1818.31,3085938059.20,6572751,48564
118,2024-05-08,1960.60,1968.25,1954.22,(-0.21),(-0.01%),2227.16,1818.31,2438944750.95,5053825,40270
119,2024-05-07,1960.81,1970.71,1955.16,(2.06),(0.10%),2227.16,1818.31,2086284260.30,4517281,37520
120,2024-05-06,1958.75,1980.81,1952.63,(-15.62),(-0.79%),2227.16,1818.31,2867884699.60,6474650,48061
121,2024-05-05,1974.37,1999.17,1969.96,(-24.58),(-1.23%),2227.16,1818.31,3631934546.05,7947076,59481
122,2024-05-02,1998.96,2026.62,1995.49,(-7.31),(-0.36%),2227.16,1818.31,4054096332.30,8614767,63194
123,2024-04-30,2006.28,2016.61,1979.31,(25.93),(1.30%),2227.16,1818.31,4778246809.20,11405577,74608
124,2024-04-29,1980.34,1990.31,1974.52,(0.07),(0.00%),2227.16,1818.31,2925006749.30,6949391,45915
125,2024-04-28,1980.27,1981.55,1965.14,(14.33),(0.72%),2227.16,1818.31,2653533174.90,6521617,47552
126,2024-04-25,1965.93,1974.91,1960.92,(-3.24),(-0.16%),2227.16,1818.31,2344957318.10,5951464,41410
127,2024-04-24,1969.17,1979.57,1963.34,(0.15),(0.00%),2227.16,1818.31,1889819101.00,4718774,35940
128,2024-04-22,1969.02,1992.78,1964.42,(-15.41),(-0.77%),2227.16,1818.31,2016520536.60,5044736,38012
129,2024-04-21,1984.43,1984.46,1953.29,(12.29),(0.62%),2227.16,1818.31,2233994590.60,5639452,46478
130,2024-04-18,1972.14,1992.37,1967.39,(-19.56),(-0.98%),2227.16,1818.31,2073998857.10,4950159,40336
131,2024-04-16,1991.71,2004.96,1988.19,(-14.81),(-0.73%),2227.16,1818.31,2081333017.40,5022904,38887
132,2024-04-15,2006.52,2026.99,2002.21,(-16.82),(-0.83%),2227.16,1818.31,2739649962.80,6590902,49736
133,2024-04-14,2023.35,2031.90,2017.88,(-2.35),(-0.11%),2227.16,1818.31,3015264874.90,7320156,58232
134,2024-04-10,2025.70,2045.46,2016.34,(-10.30),(-0.50%),2227.16,1818.31,3424760442.20,8001856,60687
135,2024-04-09,2036.01,2046.61,2030.44,(9.19),(0.45%),2227.16,1818.31,4099359057.80,9408670,71395
136,2024-04-07,2026.81,2026.82,2000.36,(22.75),(1.13%),2227.16,1818.31,3220754419.40,7380599,62911
137,2024-04-04,2004.05,2011.37,2000.33,(-2.73),(-0.13%),2227.16,1818.31,2984195710.90,6279384,55250
138,2024-04-03,2006.78,2017.21,1999.85,(-3.43),(-0.17%),2227.16,1818.31,2459237596.00,5468564,51122
139,2024-04-02,2010.21,2018.07,2004.28,(-1.85),(-0.09%),2227.16,1818.31,2190927323.30,4963502,45514
140,2024-04-01,2012.07,2019.76,2006.96,(-6.26),(-0.31%),2227.16,1818.31,2792626884.50,6336305,62293
141,2024-03-31,2018.33,2040.48,2014.32,(-17.30),(-0.85%),2227.16,1818.31,3072119424.10,7116425,66236
142,2024-03-28,2035.64,2039.34,2023.13,(4.78),(0.23%),2227.16,1818.31,2612525919.10,6003560,52991
143,2024-03-27,2030.86,2053.71,2025.10,(-10.83),(-0.53%),2227.16,1818.31,2198447255.60,5273033,43574
144,2024-03-26,2041.70,2048.74,2032.13,(10.14),(0.49%),2227.16,1818.31,2316407279.40,5720063,48855
145,2024-03-25,2031.55,2051.67,2027.77,(-17.01),(-0.83%),2227.16,1818.31,2416307795.10,5391373,43520
146,2024-03-21,2048.57,2074.97,2045.11,(-15.37),(-0.74%),2227.16,1818.31,2964533406.18,6772245,51628
