Symbol,Date,Open,High,Low,Close,Percent Change,Volume
NEPSE,05-09-23,1966.8,1974.11,1954.19,1961.37,-0.32%,"796,870,408.05"
NEPSE,07-09-23,1960.72,1960.78,1929.66,1932.45,-1.47%,"1,150,920,607.60"
NEPSE,10-09-23,1933.25,1946.75,1933.06,1942.68,0.52%,"1,072,212,418.60"
NEPSE,11-09-23,1942.98,1986.99,1941.86,1986.99,2.28%,"1,518,343,397.24"
NEPSE,12-09-23,1987.17,1998.54,1962.71,1967.57,-0.97%,"1,135,057,515.51"
NEPSE,13-09-23,1967.26,2007.48,1967.25,2007.06,2.00%,"1,495,521,905.77"
NEPSE,17-09-23,2009.99,2010.86,1961.05,1964.91,-2.09%,"2,028,465,610.94"
NEPSE,18-09-23,1965.45,1974.98,1952.88,1969.18,0.21%,"870,444,156.82"
NEPSE,19-09-23,1970.42,1986.72,1960.62,1985.43,0.82%,"1,176,680,757.50"
NEPSE,21-09-23,1988.71,2040.28,1988.67,2029.78,2.23%,"3,293,921,368.32"
NEPSE,24-09-23,2029.42,2037.02,2003.83,2010.35,-0.95%,"2,326,895,206.99"
NEPSE,25-09-23,2012.21,2015.56,1999.62,2004.45,-0.29%,"1,565,573,471.78"
NEPSE,26-09-23,2006.64,2030.51,2005.42,2022.91,0.92%,"2,093,809,518.54"
NEPSE,27-09-23,2023.52,2027.19,1993.46,2004.3,-0.91%,"1,814,359,022.20"
NEPSE,01-10-23,2004.58,2005.32,1964.44,1971.1,-1.65%,"1,830,486,743.11"
NEPSE,02-10-23,1970.28,1982.51,1954.35,1976.29,0.26%,"1,737,314,092.32"
NEPSE,03-10-23,1977.83,1978.27,1954.13,1958.72,-0.88%,"1,199,101,324.81"
NEPSE,04-10-23,1958.87,1976.19,1957.23,1967.97,0.47%,"1,189,931,385.37"
NEPSE,05-10-23,1967.58,1970.15,1954.02,1956.92,-0.56%,"1,106,519,418.20"
NEPSE,08-10-23,1963.8,1964.02,1917.69,1921.24,-1.82%,"1,801,766,294.08"
NEPSE,09-10-23,1919.97,1926.72,1902.87,1908.66,-0.65%,"1,170,172,722.08"
NEPSE,10-10-23,1908.29,1913.58,1885.37,1889.59,-0.99%,"1,283,182,145.32"
NEPSE,11-10-23,1890.04,1905.05,1884.4,1894.76,0.27%,"1,088,547,980.13"
NEPSE,12-10-23,1896.18,1897.6,1870.19,1874.6,-1.20%,"1,700,129,815.00"
NEPSE,16-10-23,1874.13,1876.62,1846.79,1851.43,-1.23%,"1,253,291,070.96"
NEPSE,17-10-23,1851.18,1884.67,1851.03,1864.62,0.71%,"1,008,437,860.61"
NEPSE,18-10-23,1864.28,1908.4,1864.25,1907.89,2.32%,"934,894,218.15"
NEPSE,19-10-23,1908.66,1915.98,1893.94,1903.84,-0.21%,"970,612,892.03"
NEPSE,29-10-23,1903.59,1903.91,1867.09,1875.65,-1.48%,"742,925,392.56"
NEPSE,30-10-23,1876.47,1878.83,1856.9,1878.7,0.16%,"694,222,217.37"
NEPSE,31-10-23,1878.29,1878.98,1860.47,1864.4,-0.76%,"571,483,276.48"
NEPSE,01-11-23,1864.19,1872.19,1853.49,1858.56,-0.31%,"812,089,291.31"
NEPSE,02-11-23,1858.27,1859.48,1842.73,1847.7,-0.58%,"964,477,711.41"
NEPSE,05-11-23,1846.75,1846.77,1817.76,1826.23,-1.16%,"972,367,278.92"
NEPSE,06-11-23,1826.68,1850.58,1824.56,1847.54,1.16%,"938,929,040.59"
NEPSE,07-11-23,1848.06,1864.85,1847.1,1858.76,0.60%,"996,586,291.90"
NEPSE,08-11-23,1858.11,1869.01,1851.19,1863.94,0.27%,"782,743,264.94"
NEPSE,09-11-23,1864.4,1866.93,1847.85,1852.08,-0.63%,"836,005,656.08"
NEPSE,20-11-23,1852.29,1873.34,1846.52,1853.48,0.07%,"1,099,318,029.70"
NEPSE,21-11-23,1853.17,1853.87,1821.38,1829.65,-1.28%,"950,479,583.91"
NEPSE,22-11-23,1830.11,1850.54,1816.4,1850.33,1.13%,"1,087,098,495.59"
NEPSE,23-11-23,1847.69,1864.59,1826.49,1860.2,0.53%,"1,348,347,430.30"
NEPSE,26-11-23,1859.24,1908.19,1852.67,1907.95,2.56%,"2,011,763,358.52"
NEPSE,27-11-23,1909.97,1926.52,1889.71,1896.67,-0.59%,"1,754,750,755.82"
NEPSE,28-11-23,1896.4,1902.63,1885.23,1894.53,-0.11%,"1,280,228,971.86"
NEPSE,29-11-23,1894.79,1907.07,1871.93,1876.6,-0.94%,"1,014,195,575.01"
NEPSE,29-11-23,1901.75,1906.72,1872.05,1874.79,-1.04%,"3,312,197.00"
NEPSE,30-11-23,1874.24,1876.4,1851.32,1858.53,-0.96%,"1,323,519,357.21"
NEPSE,03-12-23,1858.47,1861.67,1837.85,1851.23,-0.39%,"964,010,431.27"
NEPSE,04-12-23,1848.71,1859.32,1843.37,1847.81,-0.18%,"1,197,257,894.69"
NEPSE,05-12-23,1849.01,1857.35,1833.02,1837.71,-0.54%,"1,544,935,438.34"
NEPSE,06-12-23,1837.24,1841.8,1830.31,1841.04,0.18%,"1,141,812,382.78"
NEPSE,07-12-23,1840.42,1861.22,1834.64,1852.77,0.63%,"2,799,146,433.95"
NEPSE,10-12-23,1866.12,1963.98,1866.12,1963.98,6.00%,"482,482,239.14"
NEPSE,11-12-23,1989.54,1989.71,1928.76,1948.57,-0.78%,"4,842,774,386.84"
