,mse,mae,mape,r2_score
0,2.4e-05,0.003908,11.266846,0.322517
1,7.4e-05,0.006448,40.551613,-0.76682
2,4.9e-05,0.00608,40.326515,-3.584719
3,1.6e-05,0.003127,20.298506,-1.638926
4,1e-05,0.002083,15.674296,-0.740086
5,1.1e-05,0.00267,18893.955078,-1.195156
6,3.4e-05,0.005219,27.664743,-0.030429
7,1.2e-05,0.002555,9.414615,-0.109515
8,0.000133,0.009417,16.173634,0.593563
9,0.000122,0.008462,8.794193,-0.987756
10,6.2e-05,0.006432,5.868995,-1.816767
11,0.000335,0.014548,8.175824,0.764496
12,0.001599,0.035424,24.192505,0.253721
13,0.000499,0.018658,26.92832,-0.148543
14,0.000123,0.007676,8.992713,0.528759
15,0.000261,0.011313,6.946153,-1.201074
16,0.000114,0.008231,5.650069,-0.329228
17,0.000193,0.012246,8.027884,-0.300507
18,5.7e-05,0.006355,3.351369,0.356802
19,4.3e-05,0.004751,2.20466,-0.012546
20,6.2e-05,0.006094,2.692855,-0.101002
21,5.9e-05,0.006395,2.778658,0.625195
22,4.5e-05,0.006036,2.309172,0.578879
23,0.000622,0.022168,6.207572,0.664221
24,0.000711,0.019847,4.708027,-0.526877
25,0.000541,0.016386,3.818617,-0.303882
26,0.000232,0.010019,2.01564,0.796478
27,8.5e-05,0.007577,1.257224,0.885665
28,0.0003,0.014432,2.236662,0.587032
29,0.00049,0.019725,2.820725,-0.03296
30,0.000535,0.017575,2.63632,0.086704
31,0.000432,0.016675,2.574249,0.566925
32,5e-05,0.006058,0.832922,0.895003
33,0.00068,0.020558,2.877032,0.315985
34,0.000202,0.010997,1.499741,-0.351627
35,8.5e-05,0.007422,0.934044,0.858053
36,0.000604,0.020629,2.443076,0.338746
37,0.001133,0.026964,3.132537,-0.335287
38,8.7e-05,0.007122,0.86598,0.152562
39,0.000376,0.015073,1.729457,0.702306
40,0.000906,0.02927,3.082729,-8.59052
41,0.000292,0.013789,1.401063,-1.110247
42,0.001693,0.03653,4.149749,-0.100721
43,0.000725,0.019422,2.386677,0.56501
44,0.000496,0.02003,2.710511,0.244456
45,0.000642,0.021076,2.941962,0.558363
46,0.000345,0.014563,1.824988,0.599381
47,0.000344,0.014267,1.823771,0.45392
48,0.001057,0.028378,4.428576,0.598744
49,0.000988,0.025625,3.92756,0.189176
50,0.000351,0.016436,2.170587,0.836881
51,0.000746,0.022887,2.687942,0.024824
52,0.000331,0.013006,1.548723,-0.130709
53,0.000378,0.016349,2.130311,-1.554374
54,0.000764,0.025363,3.579564,-0.03598
55,0.00026,0.014039,1.987323,0.310704
56,0.000358,0.017575,2.745981,0.405539
57,0.000577,0.021474,3.599576,-1.411174
58,0.000513,0.018344,3.274934,-0.310494
59,0.000359,0.01609,3.151513,0.244291
60,0.000453,0.019875,4.487663,-0.284092
61,0.000407,0.016532,4.281804,-0.235913
62,0.000664,0.019404,4.444708,-0.223801
63,0.000104,0.007667,1.765554,0.619165
64,0.000239,0.0123,2.527186,0.433842
65,0.000242,0.01418,3.071209,0.393957
66,9.4e-05,0.008274,1.856993,0.409346
67,5e-05,0.006132,1.511474,0.487081
68,0.000263,0.013704,3.661676,0.545283
69,7.9e-05,0.006723,1.848759,-0.088129
70,0.000155,0.009145,2.358325,0.683506
71,0.000113,0.008668,2.261381,-0.672735
72,7.1e-05,0.007013,1.765729,0.438775
73,0.000127,0.008094,2.154422,-0.234882
74,0.000357,0.015604,3.356678,0.721404
75,0.000144,0.009763,1.921932,-4.045341
76,0.00043,0.016511,3.369441,-0.789698
77,0.000245,0.01302,2.914994,0.105581
78,0.000132,0.007884,1.915225,-0.222601
79,9.9e-05,0.008837,2.31995,0.068993
80,0.000319,0.012387,3.20992,0.121621
81,0.000102,0.008489,2.279984,-0.813386
82,0.000146,0.010881,3.121416,-1.537294
83,0.000229,0.013407,3.58116,0.306162
84,0.000105,0.008331,2.07313,0.8097
85,0.000376,0.017691,3.689385,0.025066
86,0.000157,0.011077,2.385184,-1.666616
87,0.000215,0.012414,2.446105,0.160045
88,0.000203,0.011733,2.583905,-0.590981
89,8.4e-05,0.007985,1.816429,0.358764
90,0.000115,0.00883,2.153004,-0.145344
91,0.000408,0.016426,3.835918,-2.756901
92,4.9e-05,0.005337,1.360792,0.873493
93,9.1e-05,0.007342,2.014596,0.30909
94,0.000197,0.012472,3.448588,-0.556758
95,0.000356,0.012848,3.282568,0.460991
96,0.00016,0.011211,2.421076,0.695597
97,0.000109,0.009573,2.101542,0.390328
98,0.000111,0.007685,1.567574,0.532399
99,5.5e-05,0.006503,1.387169,0.091795
100,5.9e-05,0.006819,1.55037,0.748696
101,0.000658,0.018023,3.995969,-0.139179
102,3.2e-05,0.004551,1.006042,0.561886
103,7.1e-05,0.007571,1.745474,-2.049289
104,9.7e-05,0.007424,1.769097,-1.520428
105,6.3e-05,0.006502,1.546079,0.586741
106,0.000124,0.009496,2.017149,-0.24924
107,4.8e-05,0.005566,1.179917,0.29135
108,6.8e-05,0.006606,1.440321,-0.134017
109,0.000373,0.0157,2.966112,0.600508
110,0.000567,0.021763,3.149086,0.77471
111,0.001461,0.027964,3.520912,0.265786
112,0.000777,0.021356,2.585794,0.688545
113,0.000482,0.018472,2.466954,0.567982
114,0.00058,0.019463,2.824531,0.120011
average,0.000319,0.013018,168.94523,-0.135317
