epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
0,0.02479196898639202,0.11134368181228638,65267.05859375,0.02479196898639202,0.6621272563934326,NA,NA,NA,NA,NA
1,0.0010821957839652896,0.025767117738723755,19474.171875,0.0010821957839652896,0.9852514863014221,NA,NA,NA,NA,NA
2,0.0004584670823533088,0.016427747905254364,2315.033447265625,0.0004584670823533088,0.9937518835067749,NA,NA,NA,NA,NA
3,0.0003667933924589306,0.014154499396681786,1661.31689453125,0.0003667933924589306,0.9950011968612671,NA,NA,NA,NA,NA
4,0.000352664414094761,0.013938399963080883,3843.9248046875,0.000352664414094761,0.9951937794685364,NA,NA,NA,NA,NA
5,0.0003537916054483503,0.013995927758514881,5552.1640625,0.0003537916054483503,0.9951784014701843,NA,NA,NA,NA,NA
6,0.0003534985880833119,0.01402309350669384,5791.12158203125,0.0003534985880833119,0.9951823949813843,NA,NA,NA,NA,NA
7,0.00035134537029080093,0.013989428989589214,4776.216796875,0.00035134537029080093,0.9952117800712585,NA,NA,NA,NA,NA
8,0.00034583514207042754,0.013881543651223183,3939.193359375,0.00034583514207042754,0.9952868223190308,NA,NA,NA,NA,NA
9,0.00033812932088039815,0.01370664406567812,4299.44482421875,0.00033812932088039815,0.995391845703125,NA,NA,NA,NA,NA
10,0.0003319229290354997,0.013553671538829803,4763.6376953125,0.0003319229290354997,0.9954764246940613,NA,NA,NA,NA,NA
11,0.00032762455521151423,0.013436119072139263,4674.4404296875,0.00032762455521151423,0.9955350160598755,NA,NA,NA,NA,NA
12,0.00032389952684752643,0.013334148563444614,4425.78076171875,0.00032389952684752643,0.9955857992172241,NA,NA,NA,NA,NA
13,0.0003206936817150563,0.013243474997580051,4133.74267578125,0.0003206936817150563,0.9956294894218445,NA,NA,NA,NA,NA
14,0.00031792314257472754,0.013161895796656609,3872.025390625,0.00031792314257472754,0.9956672191619873,NA,NA,NA,NA,NA
