epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,r2_score,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_r2_score
0,0.04123713821172714,0.14435546100139618,150606.25,0.04123713821172714,0.4380073547363281,NA,NA,NA,NA,NA
1,0.0012442884035408497,0.02791699767112732,32986.03125,0.0012442884035408497,0.9830424189567566,NA,NA,NA,NA,NA
2,0.0006088860100135207,0.018835192546248436,10071.69140625,0.0006088860100135207,0.9917019009590149,NA,NA,NA,NA,NA
3,0.0005383805255405605,0.0176088847219944,14768.8583984375,0.0005383805255405605,0.992662787437439,NA,NA,NA,NA,NA
4,0.0005213190452195704,0.017292797565460205,15484.771484375,0.0005213190452195704,0.9928953051567078,NA,NA,NA,NA,NA
5,0.0005145887844264507,0.01719466783106327,14338.5224609375,0.0005145887844264507,0.9929870367050171,NA,NA,NA,NA,NA
6,0.0005064494907855988,0.017081253230571747,11824.521484375,0.0005064494907855988,0.9930979609489441,NA,NA,NA,NA,NA
7,0.0004967132117599249,0.016919616609811783,10015.6845703125,0.0004967132117599249,0.9932306408882141,NA,NA,NA,NA,NA
8,0.0004902553046122193,0.01679680123925209,9399.14453125,0.0004902553046122193,0.9933186173439026,NA,NA,NA,NA,NA
9,0.0004869210533797741,0.01671965792775154,8535.994140625,0.0004869210533797741,0.9933640956878662,NA,NA,NA,NA,NA
10,0.00048410528688691556,0.016649452969431877,7531.56103515625,0.00048410528688691556,0.9934024810791016,NA,NA,NA,NA,NA
11,0.0004817713052034378,0.016587501391768456,6526.732421875,0.0004817713052034378,0.9934342503547668,NA,NA,NA,NA,NA
12,0.0004798108711838722,0.016534753143787384,5501.8359375,0.0004798108711838722,0.993461012840271,NA,NA,NA,NA,NA
13,0.0004780825402121991,0.016492066904902458,4469.74560546875,0.0004780825402121991,0.9934845566749573,NA,NA,NA,NA,NA
14,0.0004763426259160042,0.01645142026245594,3515.57470703125,0.0004763426259160042,0.9935082793235779,NA,NA,NA,NA,NA
15,0.000474191881949082,0.016404693946242332,2788.619140625,0.000474191881949082,0.9935375452041626,NA,NA,NA,NA,NA
16,0.00047116726636886597,0.016335919499397278,2425.65234375,0.00047116726636886597,0.9935787916183472,NA,NA,NA,NA,NA
